county,city,date,population,housing units,single family,Multi-family,mobile homes,occupied,vacancy rate
California,Incorporated,4/1/1990,"23,612,925","8,839,865","5,184,452","3,375,567","279,846","8,305,862",6.04%
California,Incorporated,1/1/1991,"23,942,373","8,962,899","5,267,204","3,412,899","282,796","8,431,478",5.93%
California,Incorporated,1/1/1992,"24,622,762","9,135,137","5,384,582","3,460,342","290,213","8,606,016",5.79%
California,Incorporated,1/1/1993,"24,997,346","9,223,761","5,453,329","3,477,717","292,715","8,703,311",5.64%
California,Incorporated,1/1/1994,"25,239,186","9,302,763","5,523,480","3,484,659","294,624","8,783,886",5.58%
California,Incorporated,1/1/1995,"25,411,029","9,372,043","5,589,295","3,487,467","295,281","8,860,901",5.45%
California,Incorporated,1/1/1996,"25,593,283","9,431,863","5,646,235","3,489,370","296,258","8,930,822",5.31%
California,Incorporated,1/1/1997,"26,003,357","9,530,316","5,729,948","3,500,973","299,395","9,037,991",5.17%
California,Incorporated,1/1/1998,"26,405,662","9,604,881","5,796,392","3,505,884","302,605","9,120,598",5.04%
California,Incorporated,1/1/1999,"26,826,969","9,687,401","5,869,896","3,513,051","304,454","9,214,087",4.89%
California,Incorporated,1/1/2000,"27,402,013","9,822,545","5,975,733","3,540,886","305,926","9,357,185",4.74%
California,State Total,4/1/1990,"29,758,213","11,182,513","6,930,681","3,696,537","555,294","10,380,856",7.17%
California,State Total,1/1/1991,"30,143,555","11,332,713","7,034,602","3,738,332","559,779","10,532,919",7.06%
California,State Total,1/1/1992,"30,722,998","11,457,671","7,118,298","3,776,014","563,359","10,666,891",6.90%
California,State Total,1/1/1993,"31,150,786","11,561,027","7,200,521","3,794,513","565,993","10,776,787",6.78%
California,State Total,1/1/1994,"31,418,940","11,646,030","7,277,417","3,800,366","568,247","10,868,220",6.68%
California,State Total,1/1/1995,"31,617,770","11,730,341","7,359,545","3,800,692","570,104","10,962,235",6.55%
California,State Total,1/1/1996,"31,837,399","11,805,109","7,432,590","3,802,882","569,637","11,048,097",6.41%
California,State Total,1/1/1997,"32,207,869","11,882,446","7,509,810","3,803,296","569,340","11,135,644",6.28%
California,State Total,1/1/1998,"32,657,877","11,966,903","7,592,009","3,805,621","569,273","11,229,860",6.16%
California,State Total,1/1/1999,"33,140,771","12,064,733","7,682,559","3,812,778","569,396","11,341,002",6.00%
California,State Total,1/1/2000,"33,721,583","12,186,125","7,789,617","3,827,274","569,234","11,473,420",5.85%
